spain	wordnet_machinery_103701640
angola	wordnet_foodstuff_107566340
angola	wordnet_clothing_103051540
angola	wordnet_footwear_103381126
angola	wordnet_base_metal_114618674
belgium	wordnet_mineral_114662574
belgium	wordnet_fuel_114875077
belgium	wordnet_chemical_114806838
belgium	wordnet_petroleum_114980579
belgium	wordnet_foodstuff_107566340
belgium	wordnet_machinery_103701640
belgium	wordnet_aircraft_102686568
belgium	wordnet_vehicle_104524313
belgium	wordnet_plastic_114592610
belgium	wordnet_motor_vehicle_103791235
belgium	wordnet_cereal_112141495
belgium	wordnet_clothing_103051540
belgium	wordnet_metallic_element_114625458
brazil	wordnet_fuel_114875077
brazil	wordnet_food_100021265
brazil	wordnet_chemical_114806838
brazil	wordnet_foodstuff_107566340
brazil	wordnet_fabric_103309808
brazil	wordnet_medicine_106043075
brazil	wordnet_vehicle_104524313
brazil	wordnet_natural_gas_114960090
bangladesh	wordnet_fabric_103309808
bangladesh	wordnet_aircraft_102686568
bangladesh	wordnet_vehicle_104524313
bangladesh	wordnet_rice_107804323
bangladesh	wordnet_grain_109290777
canada	wordnet_fuel_114875077
canada	wordnet_chemical_114806838
canada	wordnet_foodstuff_107566340
canada	wordnet_pharmaceutical_103920989
canada	wordnet_car_102958343
canada	wordnet_building_material_114786479
canada	wordnet_vehicle_104524313
canada	wordnet_contraceptive_103096593
canada	wordnet_sugar_107859284
peoples_republic_of_china	wordnet_fuel_114875077
peoples_republic_of_china	wordnet_food_100021265
peoples_republic_of_china	wordnet_chemical_114806838
peoples_republic_of_china	wordnet_petroleum_114980579
peoples_republic_of_china	wordnet_consumer_goods_103093574
peoples_republic_of_china	wordnet_foodstuff_107566340
peoples_republic_of_china	wordnet_electricity_111449907
peoples_republic_of_china	wordnet_fabric_103309808
peoples_republic_of_china	wordnet_medicine_106043075
peoples_republic_of_china	wordnet_machinery_103701640
peoples_republic_of_china	wordnet_electronics_106099269
peoples_republic_of_china	wordnet_car_102958343
peoples_republic_of_china	wordnet_building_material_114786479
peoples_republic_of_china	wordnet_vehicle_104524313
peoples_republic_of_china	wordnet_grain_109290777
peoples_republic_of_china	wordnet_plastic_114592610
peoples_republic_of_china	wordnet_motor_vehicle_103791235
peoples_republic_of_china	wordnet_natural_gas_114960090
peoples_republic_of_china	wordnet_cereal_112141495
peoples_republic_of_china	wordnet_contraceptive_103096593
peoples_republic_of_china	wordnet_gem_103432972
peoples_republic_of_china	wordnet_fertilizer_114859344
peoples_republic_of_china	wordnet_sugar_107859284
peoples_republic_of_china	wordnet_energy_111452218
chile	wordnet_food_100021265
chile	wordnet_fabric_103309808
chile	wordnet_medicine_106043075
costa_rica	wordnet_chemical_114806838
costa_rica	wordnet_consumer_goods_103093574
costa_rica	wordnet_foodstuff_107566340
denmark	wordnet_fuel_114875077
denmark	wordnet_chemical_114806838
denmark	wordnet_foodstuff_107566340
